Question,Answer A,Answer B,Answer C,Answer D,Answer E
Il numero totale di elettroni che possono essere contenuti negli orbitali 3 d è:,10,5,3,7,6
Quanti sono i numeri quantici?,4,2,6,Nessuna delle altre alternative è corretta,3
Il simbolo Hb indica:,nessuna delle altre alternative è corretta,il mercurio,il bario,lo iodio,l'idrogeno
Quale tra i seguenti amminoacidi NON è chirale?,Glicina,Prolina,Triptofano,Glutammina,Asparagina
La massa molecolare del cellobiosio (C12H22O11) è 342 u. Sciogliendo 1.71 g di C12H22O11 in 1 litro di acqua si ottiene una soluzione:,0.005 molare,0.02 molare,0.2 molare,0.5 molare,0.05 molare
Un elemento la cui configurazione elettronica esterna è ns2 è:,un metallo alcalino-terroso,un metallo alcalino,un alogeno,un gas nobile,un lantanide
Si consideri il seguente composto organico: CH3CH2COOH. A quale classe di composti appartiene?,Acidi carbossilici,Aldeidi,Chetoni,Eteri,Esteri
Le proprietà chimiche degli elementi sono determinate:,dal numero atomico,dalla tavola periodica degli elementi,dal numero di massa,dal loro pH,dal numero di neutroni presenti nel nucleo
"Quale, tra le seguenti, è la formula del butano?",C4H10,C4H6,C3H10,C4H8,Nessuna delle altre alternative è corretta
Come viene chiamato il passaggio di stato da liquido ad aeriforme?,Evaporazione,Brinamento,Fusione,Sublimazione,Condensazione
La sintesi di Williamson è una reazione tipica per ottenere gli:,eteri,alcani,alchini,alcooli,nessuna delle altre alternative è corretta
Il legame estereo è presente:,nei trigliceridi,nei polisaccaridi,nelle proteine,non esiste,nessuna delle altre alternative è corretta
Il composto HClO prende il nome di:,acido ipocloroso,acido cloroso,acido clorico,acido perclorico,acido cloridrico
"Un composto binario è costituito da ferro (massa atomica = 56 u) e ossigeno (massa atomica = 16 u). Qual è la formula della sostanza, considerato che 1 mole di tale composto ha una massa pari a 232 g?",Fe3O4,Fe2O3,FeO,Fe4O2,FeO10
Il movimento di acqua attraverso una membrana semipermeabile da una regione a più bassa concentrazione a una regione a più alta concentrazione di un soluto è chiamato:,osmosi,solubilità,diffusione,metabolismo,denaturazione
Due soluzioni con la stessa concentrazione molare di soluti diversi:,potrebbero bollire a temperature diverse se i due soluti si dissociano in un numero diverso di ioni,potrebbero contenere la stessa quantità di moli di soluto in volumi diversi,potrebbero congelare a temperature diverse se entrambi i soluti non sono elettroliti,potrebbero contenere un diverso numero di moli di soluto ma hanno lo stesso volume,hanno sempre la stessa pressione osmotica
Se si idrolizza un trigliceride con quantità opportune di NaOH si ottengono:,saponi e un alcol trivalente,proteine,grassi,una molecola di acido carbossilico e tre molecole di alcol monovalente,carboidrati
"Se una soluzione acquosa a temperatura ambiente ha pH = 12, essa è:",basica,costituita esclusivamente dal solvente,acida,con eccesso di protoni,neutra
Stronzio (Sr) e bario (Ba):,appartengono ai metalli alcalino-terrosi,appartengono ai post-metalli di transizione,appartengono ai metalli alcalini,fanno parte del gruppo 3,fanno parte del gruppo 1
Gli idrocarburi sono prevalentemente composti da:,carbonio e idrogeno,carbonio e azoto,azoto e idrogeno,idrogeno e zolfo,carbonio e ossigeno
Dall’ossidazione di un’aldeide si ottiene:,un acido carbossilico,un chetone,un alcol,un etere,un estere
L'idrogenazione di un alchene produce un:,alcano,alchino,cicloalchene,alcol,acido carbossilico
Quale delle seguenti affermazioni è ERRATA? I metalli alcalini:,sono poco reattivi e non reagiscono con l'acqua,hanno configurazione elettronica esterna ns1,"originano composti ionici, la maggior parte dei quali è solubile in acqua",allo stato solido sono duttili e malleabili,formano ossidi che hanno carattere basico
L'anione derivante dall'atomo di idrogeno viene detto:,ione idruro,nessuna delle altre alternative è corretta,idrogenione,ione idrogeno,ossidrilione
La chinolina è:,un'ammina aromatica terziaria eterociclica,un'ammina alifatica secondaria,un'ammina alifatica primaria,un composto carbociclico,un'ammina aromatica monociclica
Una mole di un composto chimico ha una massa pari:,"alla corrispondente massa molecolare, espressa in grammi","alla corrispondente massa molecolare, espressa in Dalton",al rapporto tra massa molecolare e numero di Avogadro,"alla corrispondente massa molecolare, espressa in kilogrammi","alla corrispondente massa molecolare, espressa in milligrammi"
Quale tra queste proprietà della materia è colligativa?,Pressione osmotica,Elettronegatività,Dimensioni atomiche,Potenziale di riduzione,Entalpia
Il legame ionico è un legame:,di natura elettrostatica che si instaura tra ioni di segno opposto,che si instaura tra atomi metallici,apolare,in cui gli elettroni vengono condivisi tra due atomi uguali,intermolecolare
Lo ione K+:,proviene da un metallo alcalino,è un anione,è un anione bivalente,nessuna delle altre alternative è corretta,può provenire dalla ionizzazione di un alogeno
Quale delle seguenti affermazioni è corretta?,Il raggio atomico di un atomo di K è maggiore di quello di un atomo di Li,Il fosforo ha elettronegatività maggiore di quella del cloro,L'affinità elettronica del sodio è maggiore di quella del fluoro,Il potenziale di prima ionizzazione del calcio è maggiore di quello del berillio,Il bromo ha massa atomica minore di quella del fluoro
"Quando a una soluzione viene aggiunto altro solvente, la soluzione:",si diluisce,si riscalda sempre,si concentra,resta invariata,nessuna delle altre alternative è corretta
"Secondo la teoria acido-base di Brønsted, gli acidi coniugati delle basi CO  2– e H– sono:
3","–
HCO3   e H2",H2CO3 e H2,"–
HCO3   e H2O",H2CO3 e H3O+,"–           –
HCO3   e OH"
Quali sono i possibili prodotti dell'idrolisi di un'ammide?,Acido carbossilico e ammina,Amminoacido e alcol,Acido carbossilico e alcol,Estere e aldeide,Ammina e chetone
"Idrogeno e ossigeno gassosi reagiscono fra loro per formare acqua. 1 litro di gas idrogeno è in grado di reagire, a parità di pressione e temperatura, con:","0,5 litri di ossigeno","0,2 litri di ossigeno",1 litro di ossigeno,2 litri di ossigeno,5 litri di ossigeno
Il numero quantico principale indica:,l’energia dell’elettrone,la forma dell’orbitale,il verso di rotazione dell’elettrone,il numero di elettroni presenti nell’orbitale,l’orientamento nello spazio dell’orbitale
"Le valenze ioniche di sodio, alluminio e cloro sono rispettivamente:","+1, +3, –1","+1, +3, –5","0, +3, –7","+1, +2, +3","+1, +3, –7"
Un acido si definisce forte se:,in acqua è completamente ionizzato,in acqua è solo parzialmente ionizzato,ha una costante di ionizzazione molto piccola,ha una costante di ionizzazione uguale a 1,rende il pH della soluzione inferiore a 4
Quale delle seguenti sostanze ha la minore massa molecolare?,Acqua,Azoto,Ossigeno,Ossido di carbonio,Nessuna delle altre alternative è corretta
"Si assuma di avere una soluzione acquosa di Mg3(PO4)2 0,8 M. Quante moli di atomi di magnesio sono contenute in 400 ml di tale soluzione a causa della presenza di Mg3(PO4)2?",0.96,0.32,0.64,2.4,0.8
Gli elettroni di legame in un legame covalente puro:,sono condivisi equamente tra gli atomi,sono attratti dall’atomo più elettronegativo,sono attratti dall’atomo meno elettronegativo,sono condivisi tra ioni di carica opposta,sono donati da un atomo accettore
"Gli elettroni sono, per convenzione, rappresentati dai quattro numeri quantici che li caratterizzano, racchiusi tra parentesi secondo la notazione generale (n, l, m, ms). Individuare a quale orbitale appartiene l’elettrone rappresentato dalla seguente serie di numeri quantici: (3, 2 ,0, –1/2).",3d,3f,3p,3s,4d
Lo zinco ha numero atomico Z = 30. Qual è il numero totale di elettroni posseduto dallo ione Zn2+?,28,32,4,30,2
Lo ione idrogenofosfato è:,un anione poliatomico bivalente,un catione trivalente,un anione monovalente,un catione poliatomico,uno ione poliatomico con tre cariche elettriche negative
Quale di questi gruppi rappresenta un'ammide?,R-C(=O)NH2,R-NH-R1,R-C(=NH)R1,NH2C(=O)NH2,CH2=C(-NH2)R
"Per ottenere 7,5 moli di anidride carbonica quante moli di 1-pentene devono subire combustione completa?",1.5,1.25,1,0.75,Nessuna delle altre alternative è corretta
Una sostanza che abbassa la barriera energetica di una reazione si chiama:,catalizzatore,inibitore,iniziatore,rallentatore,terminatore
"Indicare quanti neutroni possiede, nello stato fondamentale, l'isotopo del carbonio avente Z = 6 e numero di massa A = 14.",8,12,2,6,0
"Si consideri una soluzione acquosa di Al2(HPO4)3 0,3 M. Quante moli di atomi di fosforo sono contenute in 600 ml di tale soluzione a causa della presenza di Al2(HPO4)3?",0.54,0.27,0.18,0.9,1.8
"La massa di CaCl2 è pari a 111,0 u. La concentrazione di un litro di una soluzione acquosa che contiene 2,22 g di CaCl2 sarà pertanto:","0,02 M","0,05 M","0,002 N","0,2 OSM","0,002% (% p/v)"
"1,20 moli di un composto hanno una massa 81 g. Calcolare la massa molecolare.","67,5 g/mol",100 g/mol,"25,7 g/mol",80 g/mol,35 g/mol
"In quale gruppo si trovano, nel sistema periodico, i gas nobili?",Nel gruppo 18,Nel gruppo 3,Nel gruppo 7,Nel gruppo 1,Nessuna delle altre alternative è corretta
La tensione di vapore di una soluzione:,diminuisce all’aumentare della concentrazione del soluto non volatile,è definita come la pressione esercitata sulla soluzione dalle molecole di soluto evaporate,diminuisce al diminuire della concentrazione del soluto non volatile,è tanto maggiore quanto più la concentrazione della soluzione è alta,dipende dal tipo di soluto e non dalla sua concentrazione
"0,42 moli di un composto hanno una massa 16,0 g. Calcolare la massa molecolare.","38,1 g/mol","42,3 g/mol",55 g/mol,27 g/mol,47 g/mol
Quale dei seguenti atomi ha la minore affinità elettronica?,Rb,H,Na,Cl,C
"Quando una reazione chimica produce calore, è detta:",esotermica,azeotropica,allotropica,endotermica,isotermica
Quale dei seguenti composti è un alogenuro alchilico?,CH3Cl,CH3CH2OH,C6H5Cl,CH3COCl,CH3OCH3
Una soluzione acquosa di KBr rispetto all'acqua pura ha:,punto di ebollizione più alto,lo stesso punto di ebollizione,lo stesso punto di congelamento,volume maggiore,nessuna delle altre risposte è corretta
Quale dei seguenti idrocarburi può presentare isomeria cis-trans?,"1,2-dicloroetene","1,2-dicloroetano",cloroetene,cloroetano,etino
Il bilanciamento di una reazione chimica è imposto dalla legge di:,Lavoisier,Proust,Dalton,Gay-Lussac,Dannon
"In quale tra le sostanze H2O, C2H6, NH  + sono presenti atomi ibridati
4
sp3?","+
In H2O, C2H6, NH4",Solo in H2O,Solo in C2H6,"+
In H2O, NH4  ma non in C2H6",In nessuna delle sostanze elencate
Un idrocarburo è un composto costituito prevalentemente da:,carbonio e idrogeno,carbonio e ossigeno,"carbonio, idrogeno e azoto","carbonio, azoto e zolfo",carbonio e azoto
Dalla reazione di alogenazione di un alcano si ottiene:,un alogenuro alchilico,un alogenuro arilico,un alcol,un alogenoalchene,un alogenoalchino
Quale delle seguenti tecniche di separazione comporta dei passaggi di stato?,La distillazione,La cromatografia,La filtrazione,L'estrazione,La centrifugazione
Quale coppia è costituita da ioni aventi la stessa configurazione elettronica esterna?,K+; Ca2+,Na+; Ca+,I–; H+,S2–; N2–,Br; Xe
"Con il termine ""mole"" si intende:","una quantità di sostanza che contiene 6,022 x 1023 entità elementari (atomi, molecole, ioni ecc.)","un'abbreviazione del termine ""molecola""","una quantità di sostanza che contiene 3,14 x 1012 particelle (atomi, molecole, ioni ecc.)",una quantità di sostanza le cui caratteristiche dipendono dalle condizioni sperimentali,un numero di grammi pari alla massa molare del 12C
Quale delle seguenti reazioni chimiche ha come prodotto un sale e acqua?,SO2 + 2KOH → ...,Fe2O3 + 3H2 → ...,Ca + 2HCl → ...,Mg + H2SO4 → ...,PCl3 + 3H2O → ...
Indicare lo ione solfuro:,S2−,"2−
SO4","2−
SO3","3−
PO4",SCN−
"Quanti grammi di solfito di sodio devono essere aggiunti a 0,5 kg di acqua per preparare una soluzione acquosa 0,001 m? (massa atomica di Na = 23 u; massa atomica di S = 32 u)",0.063,0.126,1.26,0.0006,2.52
Gli alcoli sono:,anfoteri,acidi forti,basi forti,inerti,solo gassosi
Individuare l'abbinamento corretto tra il nome dell'elemento e il suo simbolo.,Selenio – Se,Radio – Rd,Silicio – Sc,Cromo – Cm,Cobalto – Ct
Che caratteristica ha la forma dei liquidi?,Dipende dalla forma del recipiente,È definita,Non può variare,Dipende dal volume del recipiente,Si distribuisce uniformemente in tutto il volume a disposizione
Che cos'è l’etino?,Un altro nome dell’acetilene,Un alcano,Nessuna delle altre alternative è corretta,Un alchene,Un cicloalcano
In un legame covalente doppio:,vengono messe in comune due coppie di elettroni,entrambi gli elettroni messi in comune provengono dallo stesso atomo,l’atomo meno elettronegativo cede due elettroni a quello più elettronegativo,vi è attrazione elettrostatica tra due ioni con carica opposta,viene messa in comune una sola coppia di elettroni
La solubilità in acqua di una sostanza:,dipende dalla temperatura,non dipende dalla temperatura,è una costante,non dipende dalla polarità della sostanza,è identica in acqua distillata e in acqua di rete
Qual è il numero massimo di elettroni presenti nel primo livello energetico?,2,8,1,10,4
"Quali volumi di soluzioni acquose di HNO3 0,12N e 0,03N devono essere miscelati per ottenere un litro di soluzione di HNO3 0,06N?","0,33 L di soluzione 0,12N; 0,66 L di soluzione 0,03N","0,66 L di soluzione 0,12N; 0,33 L di soluzione 0,03N","0,25 L di soluzione 0,12N; 0,75 L di soluzione 0,03N","0,20 L di soluzione 0,12N; 0,80 L di soluzione 0,03N","0,15 L di soluzione 0,12N; 0,85 L di soluzione 0,03N"
L'anidride carbonica a temperatura e pressione ordinaria è:,un gas presente nell'atmosfera,un gas a forte potere riducente,un gas velenoso,un solido atossico,un liquido basso bollente
"La massa molecolare di Na2CO3 (carbonato di sodio) è 106 g/mol. Per preparare 120 mL di soluzione 1,50 mol/L quanto carbonato di sodio bisogna pesare?","19,1 g","9,50 g",295 g,589 g,19.000 g
Il numero di ossidazione è rappresentato da:,un numero relativo,un numero intero positivo,un numero decimale,un rapporto tra l'elemento che ossida e quello che riduce,nessuna delle altre alternative è corretta
Scrivere la formula del seguente composto binario: Triioduro di fosforo.,PI3,SF6,CaH2,P2O5,Nessuna delle altre alternative è corretta
Nella formazione di un disaccaride da due monosaccaridi:,si elimina acqua,entrambi i monosaccaridi si riducono,"il primo monosaccaride si ossida, il secondo si riduce","si forma in alcuni casi un legame ammidico, in altri casi un legame glicosidico",entrambi i monosaccaridi si ossidano
Una soluzione ha pH = 2. La concentrazione molare di H+ è:,10–2,10–12,102,1012,nessuna delle altre alternative è corretta
"Una soluzione 0,1 molare si prepara sciogliendo 0,1 moli di soluto in:",un litro di soluzione,un chilo di solvente,100 millilitri di solvente,un litro di solvente,un chilo di soluzione
